customer_id,country,name,email,signup_date
17850,United Kingdom,Customer_17850.0,customer17850.0@example.com,01-01-2020
13047,United Kingdom,Customer_13047.0,customer13047.0@example.com,01-01-2020
12583,France,Customer_12583.0,customer12583.0@example.com,01-01-2020
13748,United Kingdom,Customer_13748.0,customer13748.0@example.com,01-01-2020
15100,United Kingdom,Customer_15100.0,customer15100.0@example.com,01-01-2020
15291,United Kingdom,Customer_15291.0,customer15291.0@example.com,01-01-2020
14688,United Kingdom,Customer_14688.0,customer14688.0@example.com,01-01-2020
17809,United Kingdom,Customer_17809.0,customer17809.0@example.com,01-01-2020
15311,United Kingdom,Customer_15311.0,customer15311.0@example.com,01-01-2020
14527,United Kingdom,Customer_14527.0,customer14527.0@example.com,01-01-2020
16098,United Kingdom,Customer_16098.0,customer16098.0@example.com,01-01-2020
18074,United Kingdom,Customer_18074.0,customer18074.0@example.com,01-01-2020
17420,United Kingdom,Customer_17420.0,customer17420.0@example.com,01-01-2020
16029,United Kingdom,Customer_16029.0,customer16029.0@example.com,01-01-2020
16250,United Kingdom,Customer_16250.0,customer16250.0@example.com,01-01-2020
12431,Australia,Customer_12431.0,customer12431.0@example.com,01-01-2020
17511,United Kingdom,Customer_17511.0,customer17511.0@example.com,01-01-2020
17548,United Kingdom,Customer_17548.0,customer17548.0@example.com,01-01-2020
13705,United Kingdom,Customer_13705.0,customer13705.0@example.com,01-01-2020
13747,United Kingdom,Customer_13747.0,customer13747.0@example.com,01-01-2020
13408,United Kingdom,Customer_13408.0,customer13408.0@example.com,01-01-2020
13767,United Kingdom,Customer_13767.0,customer13767.0@example.com,01-01-2020
17924,United Kingdom,Customer_17924.0,customer17924.0@example.com,01-01-2020
13448,United Kingdom,Customer_13448.0,customer13448.0@example.com,01-01-2020
15862,United Kingdom,Customer_15862.0,customer15862.0@example.com,01-01-2020
15513,United Kingdom,Customer_15513.0,customer15513.0@example.com,01-01-2020
12791,Netherlands,Customer_12791.0,customer12791.0@example.com,01-01-2020
16218,United Kingdom,Customer_16218.0,customer16218.0@example.com,01-01-2020
14045,United Kingdom,Customer_14045.0,customer14045.0@example.com,01-01-2020
14307,United Kingdom,Customer_14307.0,customer14307.0@example.com,01-01-2020
17908,United Kingdom,Customer_17908.0,customer17908.0@example.com,01-01-2020
17920,United Kingdom,Customer_17920.0,customer17920.0@example.com,01-01-2020
99999,United Kingdom,Customer_nan,customernan@example.com,01-01-2020
12838,United Kingdom,Customer_12838.0,customer12838.0@example.com,01-01-2020
13255,United Kingdom,Customer_13255.0,customer13255.0@example.com,01-01-2020
16583,United Kingdom,Customer_16583.0,customer16583.0@example.com,01-01-2020
18085,United Kingdom,Customer_18085.0,customer18085.0@example.com,01-01-2020
13758,United Kingdom,Customer_13758.0,customer13758.0@example.com,01-01-2020
13694,United Kingdom,Customer_13694.0,customer13694.0@example.com,01-01-2020
15983,United Kingdom,Customer_15983.0,customer15983.0@example.com,01-01-2020
14849,United Kingdom,Customer_14849.0,customer14849.0@example.com,01-01-2020
17968,United Kingdom,Customer_17968.0,customer17968.0@example.com,01-01-2020
16210,United Kingdom,Customer_16210.0,customer16210.0@example.com,01-01-2020
17897,United Kingdom,Customer_17897.0,customer17897.0@example.com,01-01-2020
17377,United Kingdom,Customer_17377.0,customer17377.0@example.com,01-01-2020
16552,United Kingdom,Customer_16552.0,customer16552.0@example.com,01-01-2020
17181,United Kingdom,Customer_17181.0,customer17181.0@example.com,01-01-2020
17951,United Kingdom,Customer_17951.0,customer17951.0@example.com,01-01-2020
14729,United Kingdom,Customer_14729.0,customer14729.0@example.com,01-01-2020
12748,United Kingdom,Customer_12748.0,customer12748.0@example.com,01-01-2020
15012,United Kingdom,Customer_15012.0,customer15012.0@example.com,01-01-2020
12868,United Kingdom,Customer_12868.0,customer12868.0@example.com,01-01-2020
17572,United Kingdom,Customer_17572.0,customer17572.0@example.com,01-01-2020
14078,United Kingdom,Customer_14078.0,customer14078.0@example.com,01-01-2020
14001,United Kingdom,Customer_14001.0,customer14001.0@example.com,01-01-2020
12662,Germany,Customer_12662.0,customer12662.0@example.com,01-01-2020
15525,United Kingdom,Customer_15525.0,customer15525.0@example.com,01-01-2020
14237,United Kingdom,Customer_14237.0,customer14237.0@example.com,01-01-2020
17905,United Kingdom,Customer_17905.0,customer17905.0@example.com,01-01-2020
15485,United Kingdom,Customer_15485.0,customer15485.0@example.com,01-01-2020
12433,Norway,Customer_12433.0,customer12433.0@example.com,01-01-2020
16955,United Kingdom,Customer_16955.0,customer16955.0@example.com,01-01-2020
15350,United Kingdom,Customer_15350.0,customer15350.0@example.com,01-01-2020
15605,United Kingdom,Customer_15605.0,customer15605.0@example.com,01-01-2020
18144,United Kingdom,Customer_18144.0,customer18144.0@example.com,01-01-2020
15922,United Kingdom,Customer_15922.0,customer15922.0@example.com,01-01-2020
14594,United Kingdom,Customer_14594.0,customer14594.0@example.com,01-01-2020
15165,United Kingdom,Customer_15165.0,customer15165.0@example.com,01-01-2020
14911,EIRE,Customer_14911.0,customer14911.0@example.com,01-01-2020
16456,United Kingdom,Customer_16456.0,customer16456.0@example.com,01-01-2020
17841,United Kingdom,Customer_17841.0,customer17841.0@example.com,01-01-2020
12472,Germany,Customer_12472.0,customer12472.0@example.com,01-01-2020
17346,United Kingdom,Customer_17346.0,customer17346.0@example.com,01-01-2020
17643,United Kingdom,Customer_17643.0,customer17643.0@example.com,01-01-2020
